data,node,box,description,boxtext,tooltips,url,n
NA,node4,prevstud,Grey title box; Previous studies,Previous studies,Grey title box; Previous studies,prevstud.html,0
previous_studies,node5,box1,Studies included in previous version of review,Studies included in previous version of review,Studies included in previous version of review,previous_studies.html,0
previous_reports,NA,box1,Reports of studies included in previous version of review,Reports of studies included in previous version of review,NA,previous_reports.html,0
NA,node6,newstud,Yellow title box; Identification of new studies via databases and registers,Identification of new studies via databases and registers,Yellow title box; Identification of new studies via databases and registers,newstud.html,0
database_results,node7,box2,Records identified from: Databases,Databases (n = 847),Records identified from: Databases and Registers,database_results.html,847
database_specific_results,NA,box2,Records identified from: specific databases,Specific Databases,NA,database_results.html,"Web of Science (n = 234); Scopus (n = 289); ERIC (n = 156); ACM Digital Library (n = 98); PsycINFO (n = 70)"
register_results,NA,box2,Records identified from: Registers,Registers (n = 0),NA,NA,0
register_specific_results,NA,box2,Records identified from: specific registers,Specific Registers,NA,database_results.html,0
NA,node16,othstud,Grey title box; Identification of new studies via other methods,Identification of new studies via other methods,Grey title box; Identification of new studies via other methods,othstud.html,0
website_results,node17,box11,Records identified from: Websites,Websites (n = 8),"Records identified from: Websites, Organisations and Citation Searching",website_results.html,8
organisation_results,,box11,Records identified from: Organisations,Organisations (n = 5),NA,NA,5
citations_results,NA,box11,Records identified from: Citation searching,Citation searching (n = 24),NA,NA,24
duplicates,node8,box3,Duplicate records,Duplicate records removed (n = 312),Duplicate records,duplicates.html,312
excluded_automatic,NA,box3,Records marked as ineligible by automation tools,Records marked as ineligible by automation tools (n = 0),NA,NA,0
excluded_other,NA,box3,Records removed for other reasons,Records removed for other reasons (n = 15),NA,NA,15
records_screened,node9,box4,Records screened (databases and registers),Records screened (n = 520),Records screened (databases and registers),records_screened.html,520
records_excluded,node10,box5,Records excluded (databases and registers),Records excluded (n = 445),Records excluded (databases and registers),records_excluded.html,445
dbr_sought_reports,node11,box6,Reports sought for retrieval (databases and registers),Reports sought for retrieval (n = 75),Reports sought for retrieval (databases and registers),dbr_sought_reports.html,75
dbr_notretrieved_reports,node12,box7,Reports not retrieved (databases and registers),Reports not retrieved (n = 7),Reports not retrieved (databases and registers),dbr_notretrieved_reports.html,7
other_sought_reports,node18,box12,Reports sought for retrieval (other),Reports sought for retrieval (n = 37),Reports sought for retrieval (other),other_sought_reports.html,37
other_notretrieved_reports,node19,box13,Reports not retrieved (other),Reports not retrieved (n = 3),Reports not retrieved (other),other_notretrieved_reports.html,3
dbr_assessed,node13,box8,Reports assessed for eligibility (databases and registers),Reports assessed for eligibility (n = 68),Reports assessed for eligibility (databases and registers),dbr_assessed.html,68
dbr_excluded,node14,box9,"Reports excluded (databases and registers): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",Reports excluded (n = 56),Reports excluded (databases and registers),dbrexcludedrecords.html,"Not empirical research (n = 14); VR not primary intervention (n = 18); Language learning not focus (n = 12); Insufficient methodology (n = 8); Not in English/Portuguese (n = 4)"
other_assessed,node20,box14,Reports assessed for eligibility (other),Reports assessed for eligibility (n = 34),Reports assessed for eligibility (other),other_assessed.html,34
other_excluded,node21,box15,"Reports excluded (other): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",Reports excluded (n = 28),Reports excluded (other),other_excluded.html,"Not empirical research (n = 8); VR not primary intervention (n = 12); Language learning not focus (n = 5); Insufficient methodology (n = 3)"
new_studies,node15,box10,New studies included in review,New studies included in review (n = 18),New studies included in review,new_studies.html,18
new_reports,NA,box10,Reports of new included studies,Reports of new included studies (n = 18),NA,NA,18
total_studies,node22,box16,Total studies included in review,Total studies included in review (n = 18),Total studies included in review,total_studies.html,18
total_reports,NA,box16,Reports of total included studies,Reports of total included studies (n = 18),NA,NA,18
identification,node1,identification,Blue identification box,Identification,Blue identification box,identification.html,0
screening,node2,screening,Blue screening box,Screening,Blue screening box,screening.html,0
included,node3,included,Blue included box,Included,Blue included box,included.html,0
